raw_file,n_samples,sfreq,n_windows,win_sec,step_sec
sub-NDARAG584XLU_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAG584XLU_FunwithFractals_raw.npy,81496,128.0,635,2.0,1.0
sub-NDARAG584XLU_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAG584XLU_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
sub-NDARAG610XL4_DespicableMe_raw.npy,85278,128.0,665,2.0,1.0
sub-NDARAG610XL4_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAH239PGG_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAH239PGG_DiaryOfAWimpyKid_raw.npy,58703,128.0,457,2.0,1.0
sub-NDARAH239PGG_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAH239PGG_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAH239PGG_ThePresent_raw.npy,101639,128.0,793,2.0,1.0
sub-NDARAH304ED7_DespicableMe_raw.npy,85275,128.0,665,2.0,1.0
sub-NDARAH304ED7_DiaryOfAWimpyKid_raw.npy,58700,128.0,457,2.0,1.0
sub-NDARAH304ED7_FunwithFractals_raw.npy,81496,128.0,635,2.0,1.0
sub-NDARAH304ED7_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAH304ED7_ThePresent_raw.npy,101536,128.0,792,2.0,1.0
sub-NDARAH503YG1_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAH503YG1_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAH503YG1_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAH503YG1_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAH503YG1_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
sub-NDARAH793FBF_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAH793FBF_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAH793FBF_FunwithFractals_raw.npy,81495,128.0,635,2.0,1.0
sub-NDARAH793FBF_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAH793FBF_ThePresent_raw.npy,101535,128.0,792,2.0,1.0
sub-NDARAH948UF0_DespicableMe_raw.npy,85272,128.0,665,2.0,1.0
sub-NDARAH948UF0_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAH948UF0_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAH948UF0_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAH948UF0_ThePresent_raw.npy,101538,128.0,792,2.0,1.0
sub-NDARAH976BND_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAH976BND_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAH976BND_FunwithFractals_raw.npy,81493,128.0,635,2.0,1.0
sub-NDARAH976BND_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAH976BND_ThePresent_raw.npy,101639,128.0,793,2.0,1.0
sub-NDARAJ689BVN_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAJ689BVN_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAJ689BVN_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAJ689BVN_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAJ689BVN_ThePresent_raw.npy,101538,128.0,792,2.0,1.0
sub-NDARAK738BGC_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAK738BGC_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAK738BGC_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAK738BGC_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAK738BGC_ThePresent_raw.npy,101538,128.0,792,2.0,1.0
sub-NDARAL828WXM_DespicableMe_raw.npy,85276,128.0,665,2.0,1.0
sub-NDARAL828WXM_DiaryOfAWimpyKid_raw.npy,58696,128.0,457,2.0,1.0
sub-NDARAL828WXM_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAL828WXM_ThePresent_raw.npy,101535,128.0,792,2.0,1.0
sub-NDARAL897CYV_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAL897CYV_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAL897CYV_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAL897CYV_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAL897CYV_ThePresent_raw.npy,101644,128.0,793,2.0,1.0
sub-NDARAM675UR8_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAM675UR8_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAM675UR8_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAM675UR8_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAM675UR8_ThePresent_raw.npy,101537,128.0,792,2.0,1.0
sub-NDARAM704GKZ_DespicableMe_raw.npy,85278,128.0,665,2.0,1.0
sub-NDARAM704GKZ_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAM704GKZ_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAM704GKZ_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAM704GKZ_ThePresent_raw.npy,101534,128.0,792,2.0,1.0
sub-NDARAM848GTE_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAM848GTE_DiaryOfAWimpyKid_raw.npy,58700,128.0,457,2.0,1.0
sub-NDARAM848GTE_FunwithFractals_raw.npy,81493,128.0,635,2.0,1.0
sub-NDARAM848GTE_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAM848GTE_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
sub-NDARAM873GAC_DespicableMe_raw.npy,85276,128.0,665,2.0,1.0
sub-NDARAM873GAC_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAM873GAC_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAM873GAC_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAM873GAC_ThePresent_raw.npy,101537,128.0,792,2.0,1.0
sub-NDARAN076TPG_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAN160GUF_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAN160GUF_DiaryOfAWimpyKid_raw.npy,58698,128.0,457,2.0,1.0
sub-NDARAN160GUF_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAN160GUF_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAN160GUF_ThePresent_raw.npy,101639,128.0,793,2.0,1.0
sub-NDARAN262WK6_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAN385MDH_DespicableMe_raw.npy,85278,128.0,665,2.0,1.0
sub-NDARAN385MDH_DiaryOfAWimpyKid_raw.npy,58700,128.0,457,2.0,1.0
sub-NDARAN385MDH_FunwithFractals_raw.npy,81493,128.0,635,2.0,1.0
sub-NDARAN385MDH_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAN385MDH_ThePresent_raw.npy,101534,128.0,792,2.0,1.0
sub-NDARAN524ZK6_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAN524ZK6_DiaryOfAWimpyKid_raw.npy,58702,128.0,457,2.0,1.0
sub-NDARAN524ZK6_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAN524ZK6_ThePresent_raw.npy,101532,128.0,792,2.0,1.0
sub-NDARAN934AZL_DespicableMe_raw.npy,85272,128.0,665,2.0,1.0
sub-NDARAN934AZL_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAN934AZL_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
