unit,rmse,mse,r2,n_test,d,alpha,train_frac
110,2.6671684462107443e-09,7.113787520462236e-18,0.0,191,160,10.0,0.7
111,1.1415655427456693e-09,1.3031718883842145e-18,0.0,316,160,10.0,0.7
112,1.079576196572087e-09,1.1654847642050534e-18,0.0,238,160,10.0,0.7
113,4.1083621680611743e-10,1.6878639703956313e-19,0.0,200,160,10.0,0.7
114,3.3597856987591825e-06,1.1288159941586728e-11,-11.324810346531489,137,160,10.0,0.7
115,0.00013339305230646449,1.779370640363517e-08,-5.763137105228406,191,160,10.0,0.7
116,3.859140634604268e-10,1.4892966437653834e-19,0.0,316,160,10.0,0.7
117,1.435796547930541e-06,2.0615117270492583e-12,-7.560240337627381,238,160,10.0,0.7
118,1.0464914567966482e-06,1.095144369148371e-12,-12.031376432748935,200,160,10.0,0.7
119,1.0320202681121012e-09,1.0650658337941733e-18,0.0,137,160,10.0,0.7
120,8.092149772687658e-09,6.548288794360892e-17,0.0,191,160,10.0,0.7
121,2.0042837869992693e-09,4.017153498828132e-18,0.0,316,160,10.0,0.7
122,1.1032970777750809e-06,1.2172644418270326e-12,0.0,238,160,10.0,0.7
123,1.0668206300683714e-09,1.1381062567394771e-18,0.0,200,160,10.0,0.7
124,2.2727384881637284e-09,5.16534023558075e-18,0.0,137,160,10.0,0.7
125,1.7578354278304065e-07,3.0899853913357085e-14,-49.86680578258535,191,160,10.0,0.7
126,1.7405742610016176e-09,3.029598758061327e-18,0.0,316,160,10.0,0.7
127,2.290832138384278e-09,5.247911886254284e-18,0.0,238,160,10.0,0.7
128,8.493735564385656e-10,7.214354383770971e-19,0.0,200,160,10.0,0.7
129,2.0498238826948224e-05,4.2017779500660777e-10,-188.19599000629927,137,160,10.0,0.7
130,9.44299302770371e-10,8.91701173212609e-19,0.0,191,160,10.0,0.7
131,4.016821286291184e-09,1.6134853246001967e-17,0.0,316,160,10.0,0.7
132,9.545166717089786e-07,9.11102076570386e-13,0.0,238,160,10.0,0.7
133,3.494951535073592e-10,1.2214686232513258e-19,0.0,200,160,10.0,0.7
134,6.875414682309686e-10,4.72713270537196e-19,0.0,137,160,10.0,0.7
135,7.561971293657234e-11,5.718340984609605e-21,0.0,191,160,10.0,0.7
136,2.1773805887546604e-08,4.740986228285591e-16,-1.7665506538404712,316,160,10.0,0.7
137,7.510437044134755e-09,5.64066645939116e-17,0.0,238,160,10.0,0.7
138,4.882664571736101e-06,2.384041332008688e-11,-2.7162386583987055,200,160,10.0,0.7
139,5.341016444561151e-09,2.8526456661072634e-17,0.0,137,160,10.0,0.7
140,1.7578984936724119e-06,3.0902071140557344e-12,-2.7959656700425315,191,160,10.0,0.7
141,8.846324996650762e-09,7.825746594636809e-17,0.2765538551616471,316,160,10.0,0.7
142,8.599709837764496e-06,7.395500929374346e-11,-10.281623417245621,238,160,10.0,0.7
143,2.3389149452041138e-08,5.470523120899163e-16,-3.671368835287897,200,160,10.0,0.7
144,3.821402280939993e-09,1.4603115392773376e-17,0.0,137,160,10.0,0.7
145,4.049680309757628e-09,1.639991061123864e-17,0.0,191,160,10.0,0.7
